"filename", "language", "JavaScript", "vue", "JSON", "JSON with Comments", "Markdown", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\Anderson\Desktop\MI_FINQUITA\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 12, 30
"c:\Users\Anderson\Desktop\MI_FINQUITA\formkit.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Anderson\Desktop\MI_FINQUITA\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Anderson\Desktop\MI_FINQUITA\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anderson\Desktop\MI_FINQUITA\package-lock.json", "JSON", 0, 0, 3534, 0, 0, 0, 0, 0, 0, 1, 3535
"c:\Users\Anderson\Desktop\MI_FINQUITA\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Anderson\Desktop\MI_FINQUITA\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2099, 0, 584, 2683
"c:\Users\Anderson\Desktop\MI_FINQUITA\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\App.vue", "vue", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\AdminNav.vue", "vue", 0, 24, 0, 0, 0, 0, 0, 0, 3, 1, 28
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\Amout.vue", "vue", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\CouponForm.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\Link.vue", "vue", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\ListItemCartShop.vue", "vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Anderson\Desktop\MI_FINQUITA\src\components\Logo.vue", "vue", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
